id                  ,label                              ,community           ,pr
4282139899318826593 ,mitt romney                        ,-5123806391895283158,1.0000000000000004
-5870575978673607603,anton siluanov                     ,-5123806391895283158,1.0000000000000004
-5650504082345576908,saud al-faisal                     ,-5123806391895283158,1.0000000000000004
-5951374250695879160,ralph goodale                      ,-2209714333319565875,1.0000000000000004
-4766036086394000160,evo morales                        ,-2209714333319565875,1.0000000000000004
-3860506274181761999,jingyi pan                         ,-5123806391895283158,1.0000000000000004
1885508936130033677 ,john henderson                     ,-6817692648362739035,1.0000000000000004
5091350508916130398 ,andrew puzder                      ,-5123806391895283158,1.0000000000000004
9195266044310002641 ,christopher johnson                ,-5123806391895283158,1.0000000000000004
-6886373228852892218,david goldman                      ,-6817692648362739035,1.0000000000000004
8848501731074738718 ,meskwaki potawatomi                ,-6817692648362739035,1.0000000000000004
-5891338791329224134,michael mccarthy                   ,-5123806391895283158,1.0000000000000004
-7456849817323352874,rick scott                         ,-5123806391895283158,1.0000000000000004
-3034908872723999323,betsy devos                        ,-5123806391895283158,1.0000000000000004
8632782506516917507 ,jenny darnall                      ,8132684862963203237 ,1.0000000000000004
-1560252120881947258,america merrill lynch              ,-5888010320500233275,1.0000000000000004
3236309663757817358 ,rush limbaugh                      ,-5123806391895283158,1.0000000000000004
-4225374835328451288,jim carr                           ,-2209714333319565875,1.0000000000000004
-1575684124537842350,mike pompeo                        ,-5123806391895283158,1.0000000000000004
12410057707899824   ,chris murphy                       ,-5123806391895283158,1.0000000000000004
1731868121115529840 ,petro poroshenko                   ,-5123806391895283158,1.0000000000000004
-8306920077234587998,jose eduardo cardozo               ,-2498084582014429470,1.0000000000000004
-7360278664246742593,kevin mccarthy                     ,-5123806391895283158,1.0000000000000004
2021027732730365073 ,ibrahim babangida                  ,-2209714333319565875,1.0000000000000004
2338338228961608296 ,s las vegas                        ,-5123806391895283158,1.0000000000000004
-2710939004853945403,haruhiko kuroda                    ,-5888010320500233275,1.0000000000000004
-5053485538010045794,ben fox                            ,-7981629573227806010,1.0000000000000004
1668339779333898083 ,ben rhodes                         ,-5123806391895283158,1.0000000000000004
-5672994227668043651,susan walsh                        ,-5123806391895283158,1.0000000000000004
3861547997062544005 ,sean hannity                       ,-5123806391895283158,1.0000000000000004
-3463722585218783619,oceti sakowin                      ,-6817692648362739035,1.0000000000000004
-4894173984603446875,narendra modi                      ,-5123806391895283158,1.0000000000000004
-3884059009727799939,yashaswini swamynathan             ,-5888010320500233275,1.0000000000000004
