source              ,target              ,articles
-1652469311467641984,1932551752666018672 ,1357
-1033643464929650521,-2030977886066610622,1296
-319213317550603216 ,-7724929033795123330,1707
-319213317550603216 ,-7127417385137458703,1017
-319213317550603216 ,5925519344790501494 ,4503
-319213317550603216 ,6008067634782732883 ,4620
-232442968513540034 ,2000442210124956849 ,1070
476135616677260618  ,7871747628767178370 ,2912
1917756763019387826 ,-319213317550603216 ,1109
2068313584669147388 ,2082255006670207919 ,2288
2605366745580009142 ,4598025016433322182 ,1739
4356211918290286401 ,6891633248965691680 ,1336
4598025016433322182 ,-232442968513540034 ,2787
5925519344790501494 ,-4584259589746295249,1757
6342774253820456939 ,-7981629573227806010,2569
6381873041093583154 ,-7866687731037512168,1085
7057901374721219905 ,-441503973431915681 ,1192
7816974886793045061 ,922999064520858995  ,1618
8521781164735264993 ,-5544868121618226955,1035
8757928992278026968 ,-319213317550603216 ,1894
8984620194342160184 ,-8800856954420026473,1356
9014183989093063301 ,-1843037069962836581,2376
9181171295236226766 ,-5960365032131816100,1484
-8800856954420026473,-4678795136086809460,9325
-6270542319968030505,7519218881764246375 ,1564
-6225865464430741523,-4729589068185710698,1123
-5123806391895283158,-3131478713916425544,1549
-5123806391895283158,6132887020992818052 ,6567
-3926529187290102665,-4678795136086809460,1543
-3466288976667784699,-4584259589746295249,1042
-3039287807637284542,-319213317550603216 ,1950
-2376203089953264870,-6380341718939214796,1256
-2209714333319565875,-3131478713916425544,2422
-2030977886066610622,-3039287807637284542,1461
-2030977886066610622,4627523996172999934 ,1140
-1958301884448221452,-8111233901869538425,3197
-1808812747603547780,6891633248965691680 ,5968
-1589286033025909364,1098278059664356283 ,2098
-1385774087472095066,-7910751992240669385,2409
-977966794734927473 ,-1808812747603547780,1962
-554187375508143523 ,-4110069703337102705,1053
-554187375508143523 ,633087338846443428  ,1529
-319213317550603216 ,-8987850060965433138,3847
-319213317550603216 ,-5729020544562572248,1802
-319213317550603216 ,-322923810646053106 ,1338
-319213317550603216 ,4491408375132580815 ,3177
-232442968513540034 ,779128267551182966  ,1352
-232442968513540034 ,6877548276407382121 ,1743
298627900943414666  ,-8987850060965433138,1392
633087338846443428  ,-8987850060965433138,1847
782645396902566231  ,6891633248965691680 ,1080
1098278059664356283 ,-2322882221466225088,1415
1932551752666018672 ,1673031328778730547 ,1180
2873133290080674816 ,4008734897837165765 ,1412
4597496278696785383 ,4024005794333692284 ,1027
4758619683741518573 ,-1843037069962836581,1474
5894814673196051032 ,7490588149625952520 ,1011
6306074510567183512 ,-8499908249375507275,1054
6342774253820456939 ,8968304211594570857 ,1111
6891633248965691680 ,-4503942782607555752,2952
